Accession,(SSI VS NSI)p-value,(SSI VS NSI)Log2Fc,(SSI VS SS)p-value,(SSI VS SS)Log2Fc,(NSI VS NS)p-value,(NSI VS NS)Log2Fc,(SS VS NS)p-value,(SS VS NS)Log2Fc,SSI VS NSI-DE,SSI VS NSI-Up,SSI VS NSI-Down,SSI VS SS-DE,SSI VS SS-Up,SSI VS SS-Down,NSI VS NS-DE,NSI VS NS-Up,NSI VS NS-Down,SS VS NS-DE,SS VS NS-Up,SS VS NS-Down
A0A0P0WXY9_ORYSJ,0.000152507,-0.575145496,0.28997934,0.096238001,0.021922634,0.177360303,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
A0A0P0WYL7_ORYSJ,0.004481061,-0.150456238,NP,NP,0.030770987,0.039400229,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
A0A0P0WZ32_ORYSJ,0.00474126,-0.309247846,0.252427321,0.097118508,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0WZD4_ORYSJ,0.001280053,0.599764196,0.049908785,0.233989199,0.446320637,0.003848939,7.02E-05,-1.219230085,1,1,0,1,1,0,0,0,0,1,0,1
A0A0P0WZH6_ORYSJ,0.015162909,-0.126136159,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0X0T9_ORYSJ,0.044609838,0.206549456,NP,NP,0.000864917,0.593140937,NP,NP,1,1,0,0,0,0,1,1,0,0,0,0
A0A0P0X1T3_ORYSJ,0.223200649,-0.033190801,0.000103394,0.83529546,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
A0A0P0X2M5_ORYSJ,0.001853371,-0.277649977,0.002729692,0.465252126,0.000934248,0.319551803,NP,NP,1,0,1,1,1,0,1,1,0,0,0,0
A0A0P0X339_ORYSJ,0.011059123,-0.1027315,NP,NP,0.173139467,0.024735645,0.012334367,0.176686644,1,0,1,0,0,0,0,0,0,1,1,0
A0A0P0X3D1_ORYSJ,0.021530011,-0.163162277,0.096395688,0.135536914,0.009526393,-0.346234987,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
A0A0P0X4T3_ORYSJ,0.093023452,0.118408879,NP,NP,9.69E-05,0.794291646,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
A0A0P0X7N0_ORYSJ,0.000362899,0.311793863,0.001150863,0.675994062,NP,NP,0.259938248,0.035509028,1,1,0,1,1,0,0,0,0,0,0,0
A0A0P0X8K8_ORYSJ,0.019015158,-0.20471746,0.000969603,0.90978492,0.255360718,0.030098744,0.018246609,-0.233534077,1,0,1,1,1,0,0,0,0,1,0,1
A0A0P0X951_ORYSJ,0.320084831,-0.067185263,0.358375697,-0.041219765,9.69E-05,0.794291646,0.001282289,1.77145352,0,0,0,0,0,0,1,1,0,1,1,0
A0A0P0XAD7_ORYSJ,0.003488534,0.209920012,0.003378289,0.550673482,0.002097552,-0.411595349,0.125654557,0.141776556,1,1,0,1,1,0,1,0,1,0,0,0
A0A0P0XAX7_ORYSJ,0.06215224,-0.313031957,0.000701774,3.144974691,NP,NP,NP,NP,0,0,0,1,1,0,0,0,0,0,0,0
A0A0P0XB84_ORYSJ,0.005778971,-0.265942329,NP,NP,0.000529045,-0.287574611,NP,NP,1,0,1,0,0,0,1,0,1,0,0,0
A0A0P0XBC7_ORYSJ,0.293270111,0.062282254,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0XBZ1_ORYSJ,0.240855333,0.128341086,NP,NP,0.331684727,-0.032934642,0.055962815,-0.277911469,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0XCQ3_ORYSJ,0.000846136,-0.400829791,0.002538972,-1.246521361,0.002584584,-0.818229114,0.151985036,-1.2106585,1,0,1,1,0,1,1,0,1,0,0,0
A0A0P0XCR4_ORYSJ,0.000287823,-0.416581614,NP,NP,0.018529469,0.15701099,NP,NP,1,0,1,0,0,0,1,1,0,0,0,0
A0A0P0XD22_ORYSJ,0.000302699,0.601661115,0.004396828,-0.346371495,NP,NP,0.046219573,0.111067907,1,1,0,1,0,1,0,0,0,1,1,0
A0A0P0XDF2_ORYSJ,0.404899145,0.024047382,NP,NP,NP,NP,NP,NP,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0XDF8_ORYSJ,0.001857528,-0.221811723,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0XEG3_ORYSJ,0.006291272,-0.156880122,0.010447708,-0.44628497,NP,NP,NP,NP,1,0,1,1,0,1,0,0,0,0,0,0
A0A0P0XGM3_ORYSJ,0.377564508,-0.02515809,NP,NP,3.24E-05,0.421912963,NP,NP,0,0,0,0,0,0,1,1,0,0,0,0
A0A0P0XI04_ORYSJ,0.010295874,-0.976089487,NP,NP,NP,NP,NP,NP,1,0,1,0,0,0,0,0,0,0,0,0
A0A0P0XI64_ORYSJ,0.016545659,0.460525579,NP,NP,0.007459763,-0.614473248,NP,NP,1,1,0,0,0,0,1,0,1,0,0,0
